id,name,color
estate_property_tag_residential,Residential,2
estate_property_tag_commercial,Commercial,9
estate_property_tag_luxury,Luxury,3
estate_property_tag_sea_view,Sea View,4
estate_property_tag_mountain_view,Mountain View,8
estate_property_tag_new_construction,New Construction,2
estate_property_tag_renovated,Renovated,5
estate_property_tag_investment,Investment Opportunity,6
estate_property_tag_penthouse,Penthouse,7
estate_property_tag_garden,Private Garden,11
estate_property_tag_swimming_pool,Swimming Pool,5
estate_property_tag_terrace,Terrace,2
estate_property_tag_parking,Parking Space,10
estate_property_tag_garage,Garage,9
estate_property_tag_energy_efficient,Energy Efficient,11
estate_property_tag_smart_home,Smart Home,5
estate_property_tag_central_location,Central Location,10
estate_property_tag_quiet_area,Quiet Area,1
estate_property_tag_historical,Historical Building,1
estate_property_tag_open_space,Open Space,4
estate_property_tag_furnished,Fully Furnished,1
estate_property_tag_pet_friendly,Pet Friendly,11